410 311 0 37 453 36 1 3 222 2 , 5716, 810272, 438.786
410 37 222 36 311 453 1 3 2 0 , 5870, 810272, 429.097
410 37 222 36 311 453 1 3 2 0 , 5870, 810272, 429.187
3 37 432 395 453 2 0 1 280 257 , 6073, 807952, 429.685
432 453 0 395 2 222 3 257 37 1 , 5910, 813793, 449.582
432 453 0 395 2 222 3 257 37 1 , 5910, 813793, 450.089
395 1 37 2 36 311 222 0 453 3 , 5973, 810178, 441.121
37 453 395 257 432 222 1 2 0 3 , 6067, 813793, 432.221
37 453 395 257 432 222 1 2 0 3 , 6067, 813793, 433.342
257 395 222 1 37 2 3 432 0 453 , 5745, 813793, 434.743
311 37 222 3 2 0 1 36 410 453 , 5708, 810272, 431.009
2 37 3 257 453 0 395 222 1 432 , 5791, 813793, 434.803
453 222 37 311 36 395 2 3 0 1 , 5804, 810178, 429.477
453 37 1 0 432 222 257 3 395 2 , 6051, 813793, 444.966
222 0 410 3 2 453 37 36 311 1 , 6051, 810272, 442.007
37 222 453 257 1 3 395 2 432 0 , 5720, 813793, 442.132
37 36 113 2 3 0 4 410 1 311 , 5938, 805496, 422.486
37 3 222 311 0 395 1 453 288 2 , 5818, 804887, 451.135
453 222 0 410 36 3 37 311 1 2 , 5993, 810272, 412.511
432 0 1 222 257 395 37 453 2 3 , 5711, 813793, 423.978
0 1 432 2 453 37 395 3 222 257 , 5718, 813793, 441.094
0 2 395 257 1 453 432 222 37 3 , 5793, 813793, 436.606
410 36 37 2 311 1 0 3 222 453 , 5971, 810272, 436.393
222 432 2 395 453 3 0 257 1 37 , 5812, 813793, 432.994
1 311 37 222 0 2 453 3 36 395 , 5828, 810178, 409.119
222 432 0 257 37 395 3 2 453 1 , 5713, 813793, 424.465
2 3 311 410 222 1 36 37 0 453 , 5798, 810272, 419.572
36 453 2 37 3 395 0 1 311 222 , 5605, 810178, 430.799
0 410 1 222 37 311 453 3 2 36 , 5805, 810272, 433.847
395 432 3 2 222 0 1 37 453 257 , 5970, 813793, 434.08
1 311 0 4 3 113 2 36 37 410 , 5796, 805496, 400.477
432 395 3 453 0 2 1 257 37 222 , 5846, 813793, 407.539
1 2 453 3 222 37 0 395 257 432 , 5920, 813793, 431.002
432 395 1 453 37 222 2 3 257 0 , 6118, 813793, 443.87
257 3 0 453 2 1 222 37 395 432 , 5863, 813793, 444.326
257 432 453 395 0 37 3 1 222 2 , 5875, 813793, 442.175
2 257 395 1 453 222 3 0 432 37 , 5879, 813793, 420.145
395 3 453 37 1 432 2 0 222 257 , 5717, 813793, 422.47
432 2 0 395 453 37 257 222 3 1 , 5727, 813793, 440.048
261 0 113 1 394 3 4 37 2 432 , 5564, 808557, 439.302
0 395 4 37 3 2 1 311 113 36 , 5719, 804969, 423.21
257 222 2 37 0 1 453 432 395 3 , 5884, 813793, 438.103
395 1 36 453 3 311 37 0 2 222 , 5950, 810178, 411.02
395 222 432 257 2 1 37 453 3 0 , 5774, 813793, 413.159
1 311 453 36 410 3 2 37 0 222 , 5885, 810272, 411.481
3 395 1 222 0 36 453 311 37 2 , 5939, 810178, 437.617
311 1 0 410 37 222 3 453 36 2 , 5876, 810272, 447.867
36 2 0 1 311 222 3 37 395 453 , 5965, 810178, 427.234
410 36 37 222 453 3 311 0 1 2 , 5855, 810272, 410.384
453 3 432 1 37 395 0 2 222 257 , 5685, 813793, 421.759
0 36 311 1 453 3 2 395 37 222 , 5915, 810178, 429.513
222 410 36 2 3 37 1 0 311 453 , 5738, 810272, 420.521
3 37 311 2 453 222 410 36 1 0 , 5881, 810272, 429.433
2 1 37 395 3 222 257 432 0 453 , 5695, 813793, 430.79
37 395 432 453 3 2 1 0 257 222 , 5776, 813793, 410.544
0 453 37 311 2 36 3 1 222 395 , 5705, 810178, 413.715
257 453 0 1 2 395 222 432 3 37 , 6037, 813793, 432.909
36 453 2 1 222 0 3 395 311 37 , 5919, 810178, 434.499
257 3 37 0 2 432 453 280 395 1 , 5995, 807952, 442.752
3 37 0 432 395 453 257 222 1 2 , 5810, 813793, 438.801
3 453 2 432 0 222 37 257 395 1 , 5899, 813793, 427.245
3 453 2 432 0 222 37 257 395 1 , 5899, 813793, 429.157
1 453 432 257 0 37 3 2 222 395 , 5754, 813793, 433.972
311 222 0 3 37 453 36 410 1 2 , 6130, 810272, 427.049
3 37 242 453 1 257 222 0 2 432 , 5783, 810869, 424.188
3 37 311 453 222 0 242 1 2 288 , 5671, 801911, 426.963
453 257 222 1 3 37 432 0 2 395 , 5763, 813793, 408.847
222 37 395 257 2 432 453 1 3 0 , 5759, 813793, 417.084
410 37 311 3 453 2 1 36 222 0 , 5908, 810272, 445.871
222 453 432 0 3 395 1 2 257 37 , 5981, 813793, 442.498
311 410 0 37 1 36 222 2 453 3 , 6182, 810272, 433.815
2 394 1 113 37 3 4 261 432 0 , 5494, 808557, 431.759
1 4 432 37 3 0 257 113 2 395 , 5513, 808584, 387.483
3 0 432 37 2 222 453 257 1 395 , 5819, 813793, 402.672
257 432 453 222 395 37 0 2 1 3 , 5807, 813793, 433.978
3 432 2 4 394 113 0 37 1 261 , 5630, 808557, 419.899
37 1 395 2 3 432 222 0 453 257 , 6034, 813793, 449.049
3 222 257 2 37 432 0 1 395 453 , 5738, 813793, 426.622
453 0 37 2 257 395 432 222 3 1 , 5751, 813793, 396.726
3 0 311 453 37 2 410 222 1 36 , 5830, 810272, 394.88
3 1 37 257 0 395 453 432 2 222 , 6031, 813793, 425.89
453 222 36 1 395 3 0 37 311 2 , 5726, 810178, 447.303
453 2 222 37 1 3 311 395 36 0 , 5897, 810178, 441.264
257 395 1 222 2 0 37 453 3 432 , 5741, 813793, 429.4
36 37 222 453 395 1 0 3 2 311 , 5790, 810178, 394.633
453 2 311 222 0 3 410 1 37 36 , 5925, 810272, 416.238
453 1 432 37 3 0 2 222 395 257 , 5911, 813793, 434.498
2 3 222 432 37 453 395 0 1 257 , 5887, 813793, 423.159
1 0 3 37 311 222 2 453 395 36 , 5943, 810178, 421.544
257 2 453 432 222 0 395 3 37 1 , 5992, 813793, 453.289
37 36 410 2 311 1 0 3 222 453 , 5747, 810272, 419.834
