54 394 36 6 280 384 2 311 4 1 372 3 298 0 5 453 116 395 459 451 , 1.06947e+06, 72.497
36 49 3 360 372 0 394 214 334 253 4 1 37 350 451 2 185 440 156 5 , 1.06725e+06, 72.974
156 253 270 3 0 214 37 2 440 125 5 1 350 394 372 334 4 451 49 36 , 1.06777e+06, 73.3025
0 214 37 79 36 372 280 4 3 451 5 427 1 334 203 440 394 350 253 2 , 1.06269e+06, 73.7054
384 253 280 1 2 361 37 428 3 451 36 116 286 372 453 4 6 0 459 5 , 1.06691e+06, 72.6575
0 4 37 451 2 6 3 384 253 1 286 116 459 361 280 453 428 372 36 5 , 1.06691e+06, 71.4139
384 36 5 451 1 394 116 33 4 474 282 280 54 395 476 311 453 0 3 2 , 1.06388e+06, 71.4765
156 5 125 253 4 270 2 0 372 334 1 394 451 298 3 54 36 432 49 214 , 1.06838e+06, 74.6286
253 372 2 384 280 451 1 395 298 459 394 116 36 5 54 453 0 3 361 4 , 1.07289e+06, 73.7793
451 453 1 5 49 292 384 474 394 54 4 36 253 222 432 3 2 0 282 297 , 1.06735e+06, 72.0897
6 2 334 4 253 372 214 1 116 286 427 451 459 361 280 3 37 36 0 5 , 1.06456e+06, 71.9655
49 298 3 156 0 2 280 453 36 372 350 1 384 4 253 440 54 394 451 5 , 1.07207e+06, 72.4208
52 3 4 0 253 394 395 453 2 1 5 280 361 474 451 476 116 384 36 459 , 1.07044e+06, 71.0725
451 372 384 346 270 440 2 5 453 37 3 125 350 36 4 286 253 49 1 0 , 1.06449e+06, 72.4556
270 3 451 156 5 350 1 49 36 2 440 125 0 384 394 253 4 372 37 453 , 1.0699e+06, 74.6922
428 116 1 0 361 453 4 3 2 286 253 5 185 37 451 360 372 384 36 459 , 1.06366e+06, 71.0593
123 3 372 253 196 270 2 453 36 116 286 1 0 361 451 459 5 384 37 4 , 1.06353e+06, 73.5385
372 4 2 350 280 0 5 288 440 6 384 1 453 37 451 394 253 428 49 3 , 1.06373e+06, 72.6797
298 395 4 350 451 54 394 1 384 253 280 453 440 3 203 0 372 36 2 5 , 1.07231e+06, 73.3771
394 372 361 451 280 459 6 36 4 1 5 116 395 384 2 253 37 3 0 453 , 1.06994e+06, 72.8387
440 253 395 372 453 5 4 298 3 394 54 280 451 116 1 384 466 0 36 2 , 1.07152e+06, 72.9033
1 156 253 431 372 5 350 300 37 440 394 451 4 36 360 3 6 0 49 2 , 1.0684e+06, 72.9088
280 428 36 286 298 0 384 54 350 453 253 4 372 1 203 451 2 5 440 3 , 1.06928e+06, 74.2997
459 372 286 451 5 253 36 428 361 6 37 2 0 384 1 280 4 3 116 453 , 1.06691e+06, 73.2239
372 384 459 451 3 286 6 1 5 36 0 361 280 428 4 2 37 116 253 453 , 1.06691e+06, 71.5982
372 498 49 451 1 36 0 459 2 453 6 394 37 311 156 384 280 3 5 4 , 1.06556e+06, 72.1452
0 6 361 5 2 451 459 394 116 253 372 3 36 37 384 280 395 1 4 453 , 1.06994e+06, 70.0528
36 459 6 37 361 1 395 4 394 3 2 5 214 334 253 116 451 0 372 280 , 1.06776e+06, 72.1305
36 350 451 3 156 453 253 0 49 1 5 185 2 52 474 384 394 4 360 459 , 1.0753e+06, 73.9863
476 116 4 459 384 36 5 2 1 311 0 474 280 3 6 453 395 451 52 394 , 1.06702e+06, 71.1865
394 384 6 361 451 395 1 116 37 3 0 4 372 459 2 253 36 5 453 280 , 1.06994e+06, 75.4229
1 2 394 116 280 451 5 459 361 52 476 334 253 214 4 0 395 3 36 474 , 1.06826e+06, 71.1287
1 394 253 3 298 54 372 453 4 5 2 36 350 49 0 451 384 440 280 156 , 1.07207e+06, 71.5524
36 2 361 384 451 116 5 3 459 0 52 476 395 453 253 394 4 280 1 474 , 1.07044e+06, 72.5655
440 125 350 3 270 0 1 37 372 451 384 394 2 4 36 49 156 253 5 453 , 1.0699e+06, 74.2795
11 52 3 36 4 428 5 253 2 1 361 360 459 431 0 451 116 300 474 286 , 1.06663e+06, 72.2807
428 476 0 4 1 3 280 36 474 453 451 459 2 5 286 253 361 52 116 384 , 1.06741e+06, 72.1013
253 451 1 0 5 394 384 453 474 185 350 156 52 49 36 360 459 3 4 2 , 1.0753e+06, 71.202
116 1 5 0 453 459 451 2 372 3 286 4 384 37 36 6 428 253 361 280 , 1.06691e+06, 72.314
52 116 395 451 0 4 5 280 253 361 459 3 476 384 474 453 2 1 394 36 , 1.07044e+06, 70.9445
1 270 116 451 0 361 4 3 2 37 253 5 123 286 453 372 36 459 384 196 , 1.06353e+06, 72.7657
0 37 1 4 372 498 3 451 311 116 395 36 459 2 384 5 394 280 453 6 , 1.06644e+06, 71.9828
2 384 4 280 451 1 459 5 372 395 394 453 36 376 0 3 116 253 6 37 , 1.06966e+06, 72.4976
49 384 0 474 451 2 453 3 52 185 36 4 459 5 156 350 253 360 394 1 , 1.0753e+06, 72.6792
334 372 2 36 394 253 4 37 440 5 3 49 270 125 156 451 1 350 214 0 , 1.06777e+06, 73.1655
3 1 2 4 395 0 37 280 394 372 459 384 6 361 253 116 453 36 5 451 , 1.06994e+06, 70.5744
36 49 156 311 2 5 459 280 372 37 4 394 498 453 1 0 451 6 384 3 , 1.06556e+06, 74.8739
36 0 372 1 116 286 5 37 360 428 3 361 253 4 2 459 335 451 300 185 , 1.06348e+06, 71.8029
0 253 5 3 54 280 384 116 451 428 298 459 1 361 372 2 4 36 286 453 , 1.06986e+06, 72.3631
253 298 214 350 36 2 5 156 0 1 440 4 394 372 54 451 49 3 334 280 , 1.06931e+06, 73.8938
474 156 222 52 350 3 49 5 0 459 214 36 1 4 334 394 253 2 136 451 , 1.07209e+06, 72.9489
298 270 3 451 36 2 432 125 49 253 5 394 0 4 1 453 372 54 384 156 , 1.07051e+06, 75.9064
37 253 280 350 453 4 0 49 1 3 451 5 156 2 36 372 440 384 394 6 , 1.06902e+06, 72.2872
6 311 372 453 451 54 298 384 36 5 1 394 459 280 0 156 49 4 2 3 , 1.06859e+06, 72.6334
286 203 372 1 298 280 4 335 2 36 54 300 451 440 3 253 5 427 0 350 , 1.06897e+06, 74.4511
288 253 282 280 5 453 451 2 428 384 474 54 476 49 1 394 432 4 3 0 , 1.05962e+06, 72.1385
372 252 0 1 136 453 3 49 36 365 4 465 475 5 156 2 394 384 253 92 , 1.06611e+06, 73.2934
3 2 116 280 6 384 451 453 37 5 361 372 459 286 0 1 36 253 4 428 , 1.06691e+06, 70.4278
360 384 459 474 451 116 253 2 3 185 1 453 0 5 4 36 52 361 286 428 , 1.0698e+06, 72.6448
6 394 372 3 384 2 459 361 395 36 451 0 253 4 280 453 37 116 5 1 , 1.06994e+06, 72.2869
459 52 453 49 0 474 360 394 156 185 311 5 1 384 3 4 2 36 6 451 , 1.07207e+06, 70.7681
253 36 453 54 4 451 3 5 394 432 8 1 384 2 298 0 372 203 280 395 , 1.06943e+06, 72.7426
214 440 451 37 2 49 36 1 270 253 334 156 3 5 372 350 0 394 125 4 , 1.06777e+06, 73.2778
298 156 36 3 280 453 1 384 2 54 350 394 0 451 253 440 49 4 5 372 , 1.07207e+06, 72.6669
3 372 451 1 125 0 384 36 4 350 2 394 37 156 253 453 440 49 5 270 , 1.0699e+06, 73.176
37 4 3 372 451 253 36 5 440 334 350 196 123 0 214 2 270 203 1 286 , 1.06084e+06, 73.1771
5 394 37 12 453 350 428 49 372 3 2 451 384 280 0 440 288 253 1 4 , 1.06304e+06, 71.8363
394 451 384 2 428 288 253 280 440 453 0 1 298 350 5 372 4 54 3 49 , 1.06678e+06, 73.636
5 125 298 2 36 394 372 0 49 453 4 384 451 1 3 54 311 156 459 270 , 1.0694e+06, 72.3162
451 4 280 37 1 36 0 286 116 2 6 459 372 5 3 253 453 361 384 428 , 1.06691e+06, 71.4787
459 453 2 474 36 49 5 384 1 451 394 52 4 360 3 253 350 156 185 0 , 1.0753e+06, 74.3756
384 394 4 280 453 52 156 0 350 49 474 476 5 2 459 3 36 253 451 1 , 1.06937e+06, 72.71
1 125 5 384 0 156 451 311 298 394 36 49 2 3 54 372 453 4 270 459 , 1.0694e+06, 74.1933
451 253 2 185 1 394 54 453 156 3 36 49 440 350 360 384 0 298 372 4 , 1.06803e+06, 73.7098
384 156 6 453 54 4 350 2 1 298 49 253 3 440 0 372 451 280 394 36 , 1.06767e+06, 74.9073
394 270 4 1 453 0 451 2 36 49 5 156 125 440 384 37 350 3 253 372 , 1.0699e+06, 74.061
459 280 361 4 476 116 428 2 286 453 451 384 52 3 253 474 5 36 1 0 , 1.06741e+06, 72.1556
384 5 453 395 372 3 451 116 280 253 394 361 0 4 2 1 6 37 36 459 , 1.06994e+06, 70.4445
5 459 49 37 372 4 311 36 3 453 451 0 1 156 6 280 394 384 498 2 , 1.06556e+06, 73.7758
253 5 440 214 451 1 0 49 372 2 288 428 334 3 394 280 37 4 6 350 , 1.06143e+06, 72.8548
0 185 49 453 360 384 33 156 2 474 54 311 1 282 451 3 4 36 5 394 , 1.06893e+06, 72.4238
