2 6 1 0 38 4 29 9 3 5 , 919697, 4431, 123.904
7 1 29 6 38 0 4 5 3 2 , 917743, 4237, 121.685
9 29 1 3 27 4 2 0 5 7 , 915781, 4255, 122.021
29 4 9 5 2 1 6 0 3 11 , 921800, 4267, 122.624
29 0 4 6 9 27 3 1 5 2 , 918699, 4490, 123.522
9 5 0 2 6 1 3 4 11 29 , 921800, 4107, 120.673
2 27 0 3 4 7 29 5 1 6 , 916746, 4196, 121.353
29 3 2 6 4 1 0 5 11 30 , 918380, 3987, 120.157
3 5 11 30 2 0 9 4 1 29 , 918995, 4107, 121.427
4 6 0 3 9 38 2 1 5 421 , 918898, 4020, 122.89
27 1 29 0 30 5 6 2 3 4 , 913874, 4325, 123.645
1 27 7 3 2 29 5 4 12 0 , 913091, 3835, 118.894
3 13 1 29 4 11 6 5 0 2 , 917579, 4133, 120.786
4 0 1 5 2 29 11 3 7 13 , 916240, 4181, 120.366
5 9 29 11 3 2 4 1 0 6 , 921800, 4227, 122.208
29 3 11 0 1 30 2 6 5 4 , 918380, 4157, 122.916
9 29 5 1 4 27 0 3 7 2 , 915781, 4277, 123.111
1 38 5 2 11 0 4 3 29 9 , 917008, 4065, 120.512
30 11 3 29 4 5 1 2 0 9 , 918995, 4596, 125.051
1 29 2 9 3 11 0 5 6 4 , 921800, 4385, 122.142
4 3 5 9 30 11 0 1 29 2 , 918995, 4133, 122.53
6 0 3 4 1 2 5 11 9 29 , 921800, 4202, 122.111
4 0 7 1 5 29 9 11 2 3 , 918883, 4124, 120.704
9 4 2 1 5 0 29 3 11 6 , 921800, 4257, 122.085
11 3 0 2 9 5 1 29 6 4 , 921800, 4061, 122.804
11 3 0 2 9 5 1 29 6 4 , 921800, 4061, 122.969
38 0 2 4 5 3 9 1 6 29 , 919697, 4158, 124.496
38 0 2 4 5 3 9 1 6 29 , 919697, 4158, 124.795
29 9 0 1 6 5 2 4 11 3 , 921800, 4013, 122.092
29 9 0 1 6 5 2 4 11 3 , 921800, 4013, 122.189
29 0 11 1 6 5 2 3 4 9 , 921800, 4119, 123.861
29 0 11 1 6 5 2 3 4 9 , 921800, 4119, 124.024
3 1 5 8 7 0 38 29 4 2 , 911543, 4315, 127.591
3 1 5 8 7 0 38 29 4 2 , 911543, 4315, 127.619
4 3 9 5 1 29 11 6 2 0 , 921800, 4199, 123.088
29 4 38 0 2 3 5 6 8 1 , 913087, 4165, 126.193
0 29 5 30 7 3 4 1 2 27 , 912536, 4007, 123.102
6 11 2 0 29 4 1 30 3 5 , 918380, 4340, 125.275
6 11 2 0 29 4 1 30 3 5 , 918380, 4340, 125.621
3 2 11 5 29 7 0 6 1 4 , 919847, 4133, 125.614
7 5 2 29 0 4 6 3 1 27 , 916746, 4162, 123.58
0 9 1 11 3 7 5 4 2 29 , 918883, 4096, 123.935
0 9 1 11 3 7 5 4 2 29 , 918883, 4096, 123.909
4 3 11 29 13 1 9 0 2 5 , 918194, 4168, 123.639
5 1 7 3 0 4 29 2 11 6 , 919847, 3917, 122.703
0 11 5 1 29 38 2 6 4 3 , 916393, 4091, 124.057
7 0 4 29 2 3 5 12 27 1 , 913091, 4214, 124.643
3 2 5 4 6 30 11 0 1 29 , 918380, 4326, 124.488
1 9 3 11 5 2 0 29 4 13 , 918194, 4238, 124.435
7 9 2 4 0 1 5 29 27 3 , 915781, 4348, 125.743
4 38 1 6 9 2 5 0 29 3 , 919697, 4058, 124.891
7 0 1 29 4 11 5 38 3 2 , 915055, 3873, 123.094
9 3 1 30 29 2 4 0 11 5 , 918995, 4018, 122.817
9 2 11 29 5 4 0 1 6 3 , 921800, 4033, 124.786
3 1 2 0 30 29 5 4 11 9 , 918995, 4173, 123.29
0 2 1 5 9 3 4 29 6 163 , 917375, 4062, 124.756
9 5 29 0 11 1 4 2 13 3 , 918194, 4078, 123.763
4 1 3 0 7 2 38 5 29 6 , 917743, 4166, 126.7
6 2 4 3 5 0 7 29 27 1 , 916746, 4320, 125.306
29 2 1 5 6 0 9 27 13 4 , 878588, 4191, 124.834
30 27 5 2 29 1 0 3 7 4 , 912536, 3962, 121.842
3 7 11 4 1 2 6 0 29 5 , 919847, 3938, 123.042
0 1 5 38 421 2 9 7 3 4 , 915980, 4111, 124.789
