12 3 8 11 0 7 4 1 283 29 , 819918, 26, 26.5925
2 1 3 13 34 4 5 0 29 386 , 903519, 24, 27.9535
0 5 1 4 30 29 3 11 6 63 , 840123, 31, 27.9848
30 9 0 11 2 29 4 3 7 1 , 900371, 22, 27.8646
29 1 0 41 3 30 108 5 2 37 , 863686, 33, 28.2262
1 5 4 7 155 2 29 9 3 0 , 911605, 35, 27.9583
2 1 0 7 6 9 4 29 30 5 , 879174, 35, 27.5864
29 1 323 2 11 9 5 4 3 0 , 910333, 29, 27.927
9 3 4 0 2 5 29 1 30 423 , 911922, 30, 27.2686
0 1 11 30 3 4 29 5 6 9 , 856563, 20, 27.8683
4 1 11 0 29 5 3 27 10 2 , 906193, 23, 27.9648
6 5 0 1 2 9 7 29 4 289 , 873940, 39, 27.669
179 2 13 38 374 154 4 6 1 3 , 676302, 27, 28.7179
2 12 32 0 38 5 4 14 1 29 , 864405, 33, 28.0523
13 4 245 29 11 1 2 0 36 3 , 893160, 26, 27.3091
1 5 0 29 30 6 31 2 3 4 , 909483, 33, 27.8361
3 2 30 5 462 1 11 29 0 20 , 852180, 32, 27.6816
0 6 4 12 29 27 3 1 5 28 , 842857, 36, 27.6351
5 2 9 6 4 0 367 11 29 1 , 877971, 24, 27.7604
0 41 4 29 3 38 1 5 9 2 , 908848, 32, 27.912
0 29 41 1 11 5 9 6 2 99 , 835686, 34, 27.9164
13 3 45 29 0 4 5 11 1 2 , 907060, 45, 28.3552
4 3 7 5 38 29 15 1 0 2 , 910632, 22, 27.3153
1 331 4 5 2 3 8 27 9 0 , 906847, 25, 27.9843
11 2 5 13 1 0 45 421 3 4 , 906219, 27, 27.6897
5 456 29 41 1 2 9 4 3 0 , 898577, 37, 27.8802
4 2 9 7 5 0 29 1 38 6 , 880742, 41, 28.344
30 179 1 6 5 2 0 14 4 7 , 868035, 29, 27.9468
401 386 13 2 27 5 29 4 0 1 , 859094, 30, 27.9419
29 0 1 3 5 157 4 32 38 7 , 837747, 32, 28.317
14 29 42 0 41 1 2 3 4 27 , 871625, 37, 27.1777
11 38 3 5 359 0 29 4 2 1 , 902804, 32, 28.1237
2 4 25 0 27 3 29 30 5 1 , 905767, 43, 27.7633
29 70 1 6 7 2 5 4 0 38 , 870778, 40, 27.6889
3 1 273 5 0 29 4 30 27 8 , 833816, 48, 27.7933
41 0 2 5 3 4 27 7 1 29 , 905645, 31, 27.5095
2 171 0 3 1 6 38 5 197 4 , 899481, 21, 28.0695
38 1 22 4 12 3 2 9 29 0 , 901112, 23, 28.1216
9 1 32 3 29 0 4 5 38 16 , 844774, 33, 27.4398
